INSERT INTO CUSTOMERS VALUES (customer_id,person_id,'name',zipcode);
INSERT INTO CUSTOMERS VALUES (4145,1,'Maazou',1263);
INSERT INTO CUSTOMERS VALUES (5296,2,'Oliveira',574);
INSERT INTO CUSTOMERS VALUES (6192,3,'Budjana',640);
INSERT INTO CUSTOMERS VALUES (6660,4,'Ciesla',1285);
INSERT INTO CUSTOMERS VALUES (8491,5,'Xu',437);
INSERT INTO CUSTOMERS VALUES (8664,6,'Benedejcic',549);
INSERT INTO CUSTOMERS VALUES (10027,7,'Chen',332);
INSERT INTO CUSTOMERS VALUES (10664,8,'Barreto',576);
INSERT INTO CUSTOMERS VALUES (2199023256013,9,'Peretz',1227);
INSERT INTO CUSTOMERS VALUES (2199023256728,10,'Donati',1176);
INSERT INTO CUSTOMERS VALUES (2199023257584,11,'Rodriguez',726);
INSERT INTO CUSTOMERS VALUES (2199023259985,12,'Yang',473);
INSERT INTO CUSTOMERS VALUES (2199023260758,13,'Alvarez',743);
INSERT INTO CUSTOMERS VALUES (2199023261098,14,'Ahmed',778);
INSERT INTO CUSTOMERS VALUES (2199023261728,15,'Li',467);
INSERT INTO CUSTOMERS VALUES (2199023262647,16,'Malik',787);
INSERT INTO CUSTOMERS VALUES (2199023265737,17,'Chen',425);
INSERT INTO CUSTOMERS VALUES (2199023266220,18,'Jasani',1194);
INSERT INTO CUSTOMERS VALUES (4398046512372,19,'Li',463);
INSERT INTO CUSTOMERS VALUES (4398046516427,20,'Wang',504);
INSERT INTO CUSTOMERS VALUES (4398046519044,21,'Li',489);
INSERT INTO CUSTOMERS VALUES (4398046521398,22,'Ahmed',756);
INSERT INTO CUSTOMERS VALUES (4398046521684,23,'Fischer',611);
INSERT INTO CUSTOMERS VALUES (4398046521820,24,'Li',380);
INSERT INTO CUSTOMERS VALUES (6597069767788,25,'Chen',401);
INSERT INTO CUSTOMERS VALUES (6597069770850,26,'Do',918);
INSERT INTO CUSTOMERS VALUES (6597069772375,27,'Zhang',383);
INSERT INTO CUSTOMERS VALUES (6597069777151,28,'Yamada',699);
INSERT INTO CUSTOMERS VALUES (8796093025356,29,'Baker',1113);
INSERT INTO CUSTOMERS VALUES (8796093025732,30,'Ha',918);
INSERT INTO CUSTOMERS VALUES (8796093029296,31,'Sotto',800);
INSERT INTO CUSTOMERS VALUES (8796093029773,32,'Beran',1080);
INSERT INTO CUSTOMERS VALUES (8796093030710,33,'Lee',1337);
INSERT INTO CUSTOMERS VALUES (8796093031404,34,'Bravo',721);
INSERT INTO CUSTOMERS VALUES (10995116277772,35,'Alonso',1073);
INSERT INTO CUSTOMERS VALUES (10995116278700,36,'Anderson',879);
INSERT INTO CUSTOMERS VALUES (10995116282682,37,'Taylor',982);
INSERT INTO CUSTOMERS VALUES (10995116283190,38,'Qureshi',792);
INSERT INTO CUSTOMERS VALUES (10995116284457,39,'Wang',339);
INSERT INTO CUSTOMERS VALUES (10995116286035,40,'Gonzales',806);
INSERT INTO CUSTOMERS VALUES (10995116287208,41,'Lei',393);
INSERT INTO CUSTOMERS VALUES (13194139533384,42,'Martins',1295);
INSERT INTO CUSTOMERS VALUES (13194139535599,43,'Garcia',793);
INSERT INTO CUSTOMERS VALUES (13194139536109,44,'Herath',1360);
INSERT INTO CUSTOMERS VALUES (13194139536445,45,'Chen',370);
INSERT INTO CUSTOMERS VALUES (13194139538627,46,'Mol',1253);
INSERT INTO CUSTOMERS VALUES (13194139540578,47,'Kiss',1153);
INSERT INTO CUSTOMERS VALUES (13194139541515,48,'Gomez',1077);
INSERT INTO CUSTOMERS VALUES (13194139541851,49,'Kaczmarek',1281);
INSERT INTO CUSTOMERS VALUES (15393162790690,50,'Froome',1195);
INSERT INTO CUSTOMERS VALUES (15393162791240,51,'Leong',1208);
INSERT INTO CUSTOMERS VALUES (15393162793476,52,'Rodriguez',1062);
INSERT INTO CUSTOMERS VALUES (15393162794965,53,'Alves',566);
INSERT INTO CUSTOMERS VALUES (15393162797176,54,'Kountche',1259);
INSERT INTO CUSTOMERS VALUES (15393162798131,55,'Wang',481);
INSERT INTO CUSTOMERS VALUES (17592186045481,56,'Malik',785);
INSERT INTO CUSTOMERS VALUES (17592186045545,57,'Lepland',519);
INSERT INTO CUSTOMERS VALUES (17592186046445,58,'Yang',350);
INSERT INTO CUSTOMERS VALUES (17592186047350,59,'Abdessamad',1231);
INSERT INTO CUSTOMERS VALUES (17592186051011,60,'Yang',507);
INSERT INTO CUSTOMERS VALUES (17592186052431,61,'Calvert',1325);
INSERT INTO CUSTOMERS VALUES (17592186055195,62,'Wei',316);
INSERT INTO CUSTOMERS VALUES (19791209300901,63,'Perera',1353);
INSERT INTO CUSTOMERS VALUES (19791209302486,64,'Li',485);
INSERT INTO CUSTOMERS VALUES (19791209306172,65,'Muni',1199);
INSERT INTO CUSTOMERS VALUES (19791209308078,66,'Brown',907);
INSERT INTO CUSTOMERS VALUES (21990232558905,67,'Jones',1113);
INSERT INTO CUSTOMERS VALUES (21990232560182,68,'Gonzi',530);
INSERT INTO CUSTOMERS VALUES (21990232561179,69,'Smith',1027);
INSERT INTO CUSTOMERS VALUES (21990232565162,70,'Jahani',956);
INSERT INTO CUSTOMERS VALUES (24189255811579,71,'Abdelli',968);
INSERT INTO CUSTOMERS VALUES (24189255812135,72,'Arbelaez',1062);
INSERT INTO CUSTOMERS VALUES (24189255813792,73,'Martinez',553);
INSERT INTO CUSTOMERS VALUES (24189255817676,74,'Ali',754);
INSERT INTO CUSTOMERS VALUES (24189255818453,75,'Gomez',719);
INSERT INTO CUSTOMERS VALUES (24189255819977,76,'Sanchez',1350);
INSERT INTO CUSTOMERS VALUES (26388279068816,77,'Becker',620);
INSERT INTO CUSTOMERS VALUES (26388279072034,78,'Wang',471);
INSERT INTO CUSTOMERS VALUES (26388279072505,79,'Hleb',995);
INSERT INTO CUSTOMERS VALUES (26388279072778,80,'Silva',1289);
INSERT INTO CUSTOMERS VALUES (26388279072865,81,'Zhou',382);
INSERT INTO CUSTOMERS VALUES (26388279074957,82,'Wang',458);
INSERT INTO CUSTOMERS VALUES (26388279075334,83,'du, Preez',1325);
INSERT INTO CUSTOMERS VALUES (26388279075595,84,'Martins',1287);
INSERT INTO CUSTOMERS VALUES (28587302322911,85,'Abdel, Fattah',524);
INSERT INTO CUSTOMERS VALUES (28587302323394,86,'Alvarez',724);
INSERT INTO CUSTOMERS VALUES (28587302326037,87,'Baldini',1378);
INSERT INTO CUSTOMERS VALUES (28587302326587,88,'Matsudaira',693);
INSERT INTO CUSTOMERS VALUES (28587302326878,89,'Pinto',1059);
INSERT INTO CUSTOMERS VALUES (28587302328769,90,'Zhang',387);
INSERT INTO CUSTOMERS VALUES (28587302329559,91,'Abderrahmane',968);
INSERT INTO CUSTOMERS VALUES (28587302329618,92,'Law-Yone',1014);
INSERT INTO CUSTOMERS VALUES (28587302330226,93,'Balawan',652);
INSERT INTO CUSTOMERS VALUES (28587302332129,94,'Zhu',313);
INSERT INTO CUSTOMERS VALUES (28587302332441,95,'Li',475);
INSERT INTO CUSTOMERS VALUES (28587302332694,96,'Omar',1214);
INSERT INTO CUSTOMERS VALUES (30786325582288,97,'Vasquez',1275);
INSERT INTO CUSTOMERS VALUES (30786325583695,98,'Xu',482);
INSERT INTO CUSTOMERS VALUES (30786325584577,99,'Ho',925);
INSERT INTO CUSTOMERS VALUES (30786325584988,100,'Al-Shorabi',1438);
INSERT INTO CUSTOMERS VALUES (30786325585602,101,'Wattansin',1387);
INSERT INTO CUSTOMERS VALUES (30786325586345,102,'Peretz',1234);
INSERT INTO CUSTOMERS VALUES (30786325588398,103,'Li',350);
INSERT INTO CUSTOMERS VALUES (32985348841691,104,'Gonzalez',747);
INSERT INTO CUSTOMERS VALUES (32985348841978,105,'Liu',432);
INSERT INTO CUSTOMERS VALUES (32985348843438,106,'Wang',408);
INSERT INTO CUSTOMERS VALUES (32985348844078,107,'King',891);
INSERT INTO CUSTOMERS VALUES (852,108,'Akhmadiyeva',1187);
INSERT INTO CUSTOMERS VALUES (3180,109,'Becker',618);
INSERT INTO CUSTOMERS VALUES (6858,110,'Liu',373);
INSERT INTO CUSTOMERS VALUES (7809,111,'Ekan',1357);
INSERT INTO CUSTOMERS VALUES (9065,112,'Liu',426);
INSERT INTO CUSTOMERS VALUES (2199023256181,113,'Chen',468);
INSERT INTO CUSTOMERS VALUES (2199023258051,114,'Gonzalez',722);
INSERT INTO CUSTOMERS VALUES (2199023258759,115,'Li',414);
INSERT INTO CUSTOMERS VALUES (2199023259397,116,'Kogan',1414);
INSERT INTO CUSTOMERS VALUES (2199023259559,117,'Li',402);
INSERT INTO CUSTOMERS VALUES (2199023262803,118,'Zhang',432);
INSERT INTO CUSTOMERS VALUES (2199023264992,119,'Bach',624);
INSERT INTO CUSTOMERS VALUES (2199023266391,120,'Djibo',1262);
INSERT INTO CUSTOMERS VALUES (4398046513139,121,'Yang',389);
INSERT INTO CUSTOMERS VALUES (4398046516111,122,'Doan',942);
INSERT INTO CUSTOMERS VALUES (4398046520444,123,'Bravo',730);
INSERT INTO CUSTOMERS VALUES (4398046521044,124,'Hleb',998);
INSERT INTO CUSTOMERS VALUES (4398046521472,125,'Mori',678);
INSERT INTO CUSTOMERS VALUES (4398046521616,126,'Svensson',1363);
INSERT INTO CUSTOMERS VALUES (6597069766983,127,'Bos',1247);
INSERT INTO CUSTOMERS VALUES (6597069767060,128,'Becker',598);
INSERT INTO CUSTOMERS VALUES (6597069769999,129,'Yang',383);
INSERT INTO CUSTOMERS VALUES (6597069770595,130,'Do',920);
INSERT INTO CUSTOMERS VALUES (6597069773276,131,'Abe',682);
INSERT INTO CUSTOMERS VALUES (6597069776658,132,'Thielsch',638);
INSERT INTO CUSTOMERS VALUES (6597069777158,133,'Jahani',958);
INSERT INTO CUSTOMERS VALUES (6597069777379,134,'Williams',907);
INSERT INTO CUSTOMERS VALUES (8796093026360,135,'Carr',1325);
INSERT INTO CUSTOMERS VALUES (8796093027285,136,'Nguyen',931);
INSERT INTO CUSTOMERS VALUES (8796093028324,137,'Berger',509);
INSERT INTO CUSTOMERS VALUES (8796093028329,138,'Zhang',460);
INSERT INTO CUSTOMERS VALUES (8796093031396,139,'Fox',1422);
INSERT INTO CUSTOMERS VALUES (10995116278526,140,'Wang',441);
INSERT INTO CUSTOMERS VALUES (10995116281535,141,'Orbakaite',529);
INSERT INTO CUSTOMERS VALUES (10995116281775,142,'Wei',327);
INSERT INTO CUSTOMERS VALUES (10995116281936,143,'Aquino',816);
INSERT INTO CUSTOMERS VALUES (10995116282904,144,'Donati',1169);
INSERT INTO CUSTOMERS VALUES (10995116282984,145,'Forouhar',1161);
INSERT INTO CUSTOMERS VALUES (10995116284677,146,'Hleb',994);
INSERT INTO CUSTOMERS VALUES (10995116285061,147,'Chan',1297);
INSERT INTO CUSTOMERS VALUES (10995116286449,148,'Zhang',389);
INSERT INTO CUSTOMERS VALUES (10995116286645,149,'Efimkin',871);
INSERT INTO CUSTOMERS VALUES (10995116286768,150,'Xu',311);
INSERT INTO CUSTOMERS VALUES (10995116287934,151,'Agudelo',1061);
INSERT INTO CUSTOMERS VALUES (13194139535502,152,'Rodriguez',1075);
INSERT INTO CUSTOMERS VALUES (13194139535544,153,'Oliveira',1294);
INSERT INTO CUSTOMERS VALUES (13194139537807,154,'Akhiezer',993);
INSERT INTO CUSTOMERS VALUES (13194139540120,155,'Lopez',1352);
INSERT INTO CUSTOMERS VALUES (13194139540756,156,'Zhang',413);
INSERT INTO CUSTOMERS VALUES (13194139541667,157,'Morais',1295);
INSERT INTO CUSTOMERS VALUES (13194139542594,158,'Thielsch',657);
INSERT INTO CUSTOMERS VALUES (13194139542867,159,'Leone',1169);
INSERT INTO CUSTOMERS VALUES (15393162790037,160,'Popov',841);
INSERT INTO CUSTOMERS VALUES (15393162790963,161,'Diaz',793);
INSERT INTO CUSTOMERS VALUES (15393162792434,162,'Santos',796);
INSERT INTO CUSTOMERS VALUES (15393162793560,163,'Tanase',1312);
INSERT INTO CUSTOMERS VALUES (15393162795553,164,'Karembeu',548);
INSERT INTO CUSTOMERS VALUES (15393162795609,165,'Dobrunov',841);
INSERT INTO CUSTOMERS VALUES (15393162796217,166,'Mula',1127);
INSERT INTO CUSTOMERS VALUES (15393162796564,167,'Omonga',1099);
INSERT INTO CUSTOMERS VALUES (15393162797095,168,'Gonzales',817);
INSERT INTO CUSTOMERS VALUES (15393162797845,169,'Ramez',953);
INSERT INTO CUSTOMERS VALUES (15393162798519,170,'Rajoelina',1203);
INSERT INTO CUSTOMERS VALUES (17592186047294,171,'Amornkiat',1386);
INSERT INTO CUSTOMERS VALUES (17592186050222,172,'Alvarez',1429);
INSERT INTO CUSTOMERS VALUES (19791209301028,173,'Becker',615);
INSERT INTO CUSTOMERS VALUES (19791209302265,174,'Mahmoud',1104);
INSERT INTO CUSTOMERS VALUES (19791209305125,175,'Wang',393);
INSERT INTO CUSTOMERS VALUES (19791209307672,176,'Muller',634);
INSERT INTO CUSTOMERS VALUES (19791209307698,177,'Rafiq',649);
INSERT INTO CUSTOMERS VALUES (19791209308180,178,'Thanh',925);
INSERT INTO CUSTOMERS VALUES (21990232556915,179,'Lei',408);
INSERT INTO CUSTOMERS VALUES (21990232557307,180,'Fox',1422);
INSERT INTO CUSTOMERS VALUES (21990232559314,181,'Johnson',1367);
INSERT INTO CUSTOMERS VALUES (21990232559604,182,'Zhang',490);
INSERT INTO CUSTOMERS VALUES (24189255813694,183,'Chen',442);
INSERT INTO CUSTOMERS VALUES (24189255813702,184,'Arce',536);
INSERT INTO CUSTOMERS VALUES (24189255814673,185,'Wang',436);
INSERT INTO CUSTOMERS VALUES (24189255815259,186,'Ambane',1044);
INSERT INTO CUSTOMERS VALUES (24189255816718,187,'Bar',523);
INSERT INTO CUSTOMERS VALUES (24189255817988,188,'Niang',1316);
INSERT INTO CUSTOMERS VALUES (26388279067321,189,'Nielsen',516);
INSERT INTO CUSTOMERS VALUES (26388279069394,190,'Wang',489);
INSERT INTO CUSTOMERS VALUES (26388279073999,191,'Amanaka',1192);
INSERT INTO CUSTOMERS VALUES (26388279075131,192,'Li',340);
INSERT INTO CUSTOMERS VALUES (26388279075466,193,'Baya',1398);
INSERT INTO CUSTOMERS VALUES (28587302326781,194,'Bona',1047);
INSERT INTO CUSTOMERS VALUES (28587302329534,195,'Chen',451);
INSERT INTO CUSTOMERS VALUES (28587302331982,196,'Wang',374);
INSERT INTO CUSTOMERS VALUES (30786325579833,197,'Yamada',698);
INSERT INTO CUSTOMERS VALUES (30786325581635,198,'Elizalde',719);
INSERT INTO CUSTOMERS VALUES (30786325582458,199,'Xu',498);
INSERT INTO CUSTOMERS VALUES (30786325583330,200,'Garcia',828);
INSERT INTO CUSTOMERS VALUES (30786325584197,201,'Le',924);
INSERT INTO CUSTOMERS VALUES (30786325584973,202,'Doan',943);
INSERT INTO CUSTOMERS VALUES (30786325585471,203,'Constantinescu',1308);
INSERT INTO CUSTOMERS VALUES (30786325586109,204,'Cortez',511);
INSERT INTO CUSTOMERS VALUES (30786325586538,205,'Kofler',1415);
INSERT INTO CUSTOMERS VALUES (32985348837706,206,'Kim',1342);
INSERT INTO CUSTOMERS VALUES (32985348838724,207,'Shrestha',1244);
INSERT INTO CUSTOMERS VALUES (32985348843991,208,'Yang',1341);
INSERT INTO CUSTOMERS VALUES (4076,209,'Burns',985);
INSERT INTO CUSTOMERS VALUES (7112,210,'Smith',892);
INSERT INTO CUSTOMERS VALUES (2199023255946,211,'Karat',1014);
INSERT INTO CUSTOMERS VALUES (2199023257360,212,'Bembo-Leta',1096);
INSERT INTO CUSTOMERS VALUES (2199023260528,213,'Lesmana',636);
INSERT INTO CUSTOMERS VALUES (2199023261523,214,'Diori',1257);
INSERT INTO CUSTOMERS VALUES (2199023262405,215,'Zhou',336);
INSERT INTO CUSTOMERS VALUES (2199023264516,216,'Popov',866);
INSERT INTO CUSTOMERS VALUES (2199023264519,217,'Wang',413);
INSERT INTO CUSTOMERS VALUES (4398046515348,218,'Sumac',1274);
INSERT INTO CUSTOMERS VALUES (4398046517342,219,'Aquino',826);
INSERT INTO CUSTOMERS VALUES (4398046519425,220,'Dijk',1254);
INSERT INTO CUSTOMERS VALUES (4398046521592,221,'Fischer',603);
INSERT INTO CUSTOMERS VALUES (4398046522102,222,'Anandyn',533);
INSERT INTO CUSTOMERS VALUES (6597069766744,223,'Zhang',314);
INSERT INTO CUSTOMERS VALUES (6597069768690,224,'Yan',478);
INSERT INTO CUSTOMERS VALUES (6597069770940,225,'Aly',1199);
INSERT INTO CUSTOMERS VALUES (6597069771254,226,'Yang',392);
INSERT INTO CUSTOMERS VALUES (6597069771919,227,'Li',440);
INSERT INTO CUSTOMERS VALUES (6597069773792,228,'Park',1337);
INSERT INTO CUSTOMERS VALUES (6597069774851,229,'Elek',1152);
INSERT INTO CUSTOMERS VALUES (8796093025850,230,'Kahnovich',856);
INSERT INTO CUSTOMERS VALUES (8796093026013,231,'Zhang',435);
INSERT INTO CUSTOMERS VALUES (8796093026700,232,'Zhang',348);
INSERT INTO CUSTOMERS VALUES (8796093030329,233,'Omonga',1091);
INSERT INTO CUSTOMERS VALUES (10995116279692,234,'Xu',342);
INSERT INTO CUSTOMERS VALUES (10995116279742,235,'Qaderi',959);
INSERT INTO CUSTOMERS VALUES (10995116280238,236,'Radafison',1206);
INSERT INTO CUSTOMERS VALUES (10995116285056,237,'Gold',509);
INSERT INTO CUSTOMERS VALUES (10995116285704,238,'Wu',402);
INSERT INTO CUSTOMERS VALUES (10995116288458,239,'Anwar',658);
INSERT INTO CUSTOMERS VALUES (13194139534028,240,'Callaghan',541);
INSERT INTO CUSTOMERS VALUES (13194139534440,241,'Wang',446);
INSERT INTO CUSTOMERS VALUES (13194139535133,242,'Tchami',1046);
INSERT INTO CUSTOMERS VALUES (13194139535273,243,'Kamkar',1165);
INSERT INTO CUSTOMERS VALUES (13194139536952,244,'Perera',1361);
INSERT INTO CUSTOMERS VALUES (13194139539619,245,'Jiang',471);
INSERT INTO CUSTOMERS VALUES (13194139539739,246,'Kazadi',1099);
INSERT INTO CUSTOMERS VALUES (13194139541511,247,'Martinez',1431);
INSERT INTO CUSTOMERS VALUES (13194139542827,248,'Chen',360);
INSERT INTO CUSTOMERS VALUES (15393162791591,249,'Eis',509);
INSERT INTO CUSTOMERS VALUES (15393162793563,250,'Gonzalez',735);
INSERT INTO CUSTOMERS VALUES (15393162794641,251,'Isso',1127);
INSERT INTO CUSTOMERS VALUES (15393162796093,252,'Zhao',486);
INSERT INTO CUSTOMERS VALUES (15393162797735,253,'Zhang',490);
INSERT INTO CUSTOMERS VALUES (15393162798442,254,'Kiss',1156);
INSERT INTO CUSTOMERS VALUES (17592186044506,255,'Loan',934);
INSERT INTO CUSTOMERS VALUES (17592186044954,256,'Linchuk',993);
INSERT INTO CUSTOMERS VALUES (17592186051006,257,'Aquino',828);
INSERT INTO CUSTOMERS VALUES (19791209300533,258,'Silva',568);
INSERT INTO CUSTOMERS VALUES (19791209306211,259,'Yang',322);
INSERT INTO CUSTOMERS VALUES (19791209306244,260,'Watson',983);
INSERT INTO CUSTOMERS VALUES (21990232562662,261,'Lim',1209);
INSERT INTO CUSTOMERS VALUES (21990232563905,262,'Berg',1248);
INSERT INTO CUSTOMERS VALUES (21990232565026,263,'Toth',1155);
INSERT INTO CUSTOMERS VALUES (21990232565874,264,'Arbelaez',1063);
INSERT INTO CUSTOMERS VALUES (24189255813597,265,'Santos',567);
INSERT INTO CUSTOMERS VALUES (24189255819346,266,'Collinet',1048);
INSERT INTO CUSTOMERS VALUES (24189255819538,267,'Garcia',741);
INSERT INTO CUSTOMERS VALUES (24189255820640,268,'Gomez',731);
INSERT INTO CUSTOMERS VALUES (24189255820663,269,'Ivanov',833);
INSERT INTO CUSTOMERS VALUES (24189255821264,270,'Zhang',387);
INSERT INTO CUSTOMERS VALUES (24189255821420,271,'Thielsch',668);
INSERT INTO CUSTOMERS VALUES (24189255821471,272,'Yang',380);
INSERT INTO CUSTOMERS VALUES (26388279072045,273,'Smith',909);
INSERT INTO CUSTOMERS VALUES (26388279074573,274,'Zhang',468);
INSERT INTO CUSTOMERS VALUES (26388279075489,275,'Fernandez',826);
INSERT INTO CUSTOMERS VALUES (26388279075678,276,'Gonzalez',731);
INSERT INTO CUSTOMERS VALUES (26388279076661,277,'Li',480);
INSERT INTO CUSTOMERS VALUES (28587302323370,278,'Gallagher',637);
INSERT INTO CUSTOMERS VALUES (28587302323429,279,'Muller',599);
INSERT INTO CUSTOMERS VALUES (28587302324791,280,'Sato',708);
INSERT INTO CUSTOMERS VALUES (28587302325163,281,'Zhang',451);
INSERT INTO CUSTOMERS VALUES (28587302326311,282,'Acuna, y, Manrique',1274);
INSERT INTO CUSTOMERS VALUES (28587302326470,283,'Liu',364);
INSERT INTO CUSTOMERS VALUES (28587302327867,284,'Bona',1040);
INSERT INTO CUSTOMERS VALUES (28587302328410,285,'Kovacs',1154);
INSERT INTO CUSTOMERS VALUES (28587302330429,286,'Hoang',929);
INSERT INTO CUSTOMERS VALUES (28587302330654,287,'Moore',537);
INSERT INTO CUSTOMERS VALUES (28587302331623,288,'Nath',1031);
INSERT INTO CUSTOMERS VALUES (30786325579835,289,'Yang',446);
INSERT INTO CUSTOMERS VALUES (30786325580623,290,'Ali',773);
INSERT INTO CUSTOMERS VALUES (30786325581265,291,'Lambo',1259);
INSERT INTO CUSTOMERS VALUES (30786325582157,292,'Wang',439);
INSERT INTO CUSTOMERS VALUES (30786325584558,293,'Ben-Tzur',1443);
INSERT INTO CUSTOMERS VALUES (30786325584694,294,'Brown',884);
INSERT INTO CUSTOMERS VALUES (30786325587125,295,'Le',922);
INSERT INTO CUSTOMERS VALUES (32985348834978,296,'Johansson',1368);
INSERT INTO CUSTOMERS VALUES (32985348835052,297,'Moore',897);
INSERT INTO CUSTOMERS VALUES (32985348835607,298,'Miller',1027);
INSERT INTO CUSTOMERS VALUES (32985348842679,299,'Lei',424);
INSERT INTO CUSTOMERS VALUES (32985348842799,300,'Williams',900);
INSERT INTO CUSTOMERS VALUES (4882,301,'Xu',423);
INSERT INTO CUSTOMERS VALUES (10941,302,'Xu',469);
INSERT INTO CUSTOMERS VALUES (2199023255857,303,'Diori',1262);
INSERT INTO CUSTOMERS VALUES (2199023257365,304,'Zhang',320);
